store_id,name,deadline_days,deadline_time,keywords,always_open,fixed_note,memo
bk_hv,BLACK H[-]AVEN,,,"4F:마지막기록,4층",1,매주 화요일 오전 11:00 다음주 월~일 예약 오픈,https://naver.me/x2YJOVXU
d_coder,Decoder,,,"TEMPO RUBATO,INTROVERTED THIEF,FURIOUS REVENGE,템포루바토,템루,남자방,여자방",1,,http://decoder.kr/
mhz_esc,MHZ ESCAPE,,,우야,,,
33_kd,PLAY33 건대점,7,20:00,"다이얼,그날,목격자",,,https://play33.kr/
33_dj,PLAY33 대전점,7,10:00,"강천여자고등학교,강천여고,자각몽,좌충우돌꼬마마법사",,,https://play33.kr/
33_hd,PLAY33 홍대점,7,20:00,피안화,,,https://play33.kr/
st_esc,STUDIO ESC,6,0:00,"하얀마법사,검은마법사,하마,흰마,검마",,,https://studioesc.co.kr/
dh_gn,개꿀이스케이프,7,0:00,"T_T,티티,말장난감2,겜몇개,게임이몇개임,개꿀스피치센터,전졸테마,전국졸업하는테마,태훈이의방,3인적정테마",,,https://naver.me/FtThdKdO
gaw_gn,겟어웨이 방탈출,,,"악마와싸우는자,악싸자,기억을잃은자들,기잃자,사라진성물,클라바리오봉쇄수도원",1,,https://naver.me/F0z6ANR6
gt_sw1,골든타임이스케이프 1호점,7,0:00,"매화,순백향,3318,수곡리",,,https://xn--bb0b44mb8pfwi.kr/
gt_sw2,골든타임이스케이프 2호점,7,0:00,"그날의함성,그함,리포터",,,https://xn--bb0b44mb8pfwi.kr/
mz_gn,괴담저장소 제일기숙학원,,,"제일기숙학원,성지순례",1,매월 15일 13:00 다음달 예약 오픈,https://naver.me/xNLIbPmw
mz_hd,괴담저장소 한강대 담력훈련,,,"한강대 담력훈련,심야괴담회",1,매월 15일 13:00 다음달 예약 오픈,https://naver.me/G4GjeB1L
dp_bc,꿈소풍 부천점,9,0:00,"몽환,심곡:자매자살사건,라미두개의보물,마이올킬,홍주옥비녀의비밀,다마고치",,,http://dreampicnicescape.com/
dp_as1,꿈소풍 안산1호점,9,0:00,"꿈꾸는앨리스,꿈앨,프리즌시즌2,THE PRISON SEASON2,안산코노,타로78,신아리오,시나리오",,,http://dreampicnicescape.com/
dp_as2,꿈소풍 안산2호점,9,0:00,"B612,시민상가철거반,시상철,키멘주에이,비612,비육일이,냥냥펀치,금고,금GO",,,http://dreampicnicescape.com/
nbj_ay1,나비잠 1호점,6,0:00,"트러블,몽,범계:산군토벌기,버거워,버거war,whatatrip,왓어트립,비영공업주식회사",,,https://naver.me/5Qsqsi2o
nbj_ay2,나비잠 2호점,6,0:00,"하피스캔디샵,블라인드 저스티스,로스트&파운드,로스트앤파운드",,,https://naver.me/GHLnaipV
ui_sin,나의신방,13,0:00,"신촌성심병원,CHASER:한마음폐공장,한나는해고됐어",,,https://xn--910bj3tlmfz4e.com/
ne_bnr,넥스트에디션 건대 보네르관,7,0:00,"세렌디피티,SERENDIPITY",,,https://naver.me/FDnPXiO0
ne_kd1,넥스트에디션 건대1호점,27,0:00,"썸,몬스터:10800,MONSTER:10800,다시봄,B아파트13동1313호,이불밖은위험해,SOUL CHASER-실종,소울체이서",,,https://naver.me/GrmFdTpH
ne_kd2,넥스트에디션 건대2호점,7,0:00,"생존자_유명호씨의진술,동화나라 수비대,빛을 구해줘,메이크업,MAKE_UP,커튼콜,방탈출아카데미,방카데미,빛구",,,https://naver.me/FBe2Fubv
ne_bc,넥스트에디션 부천점,28,0:00,"진시황,쌩얼,집으로,주르륵",,,https://naver.me/xVGl5GCX
ne_bs,넥스트에디션 분당서현점,,,"평범한하루,테마명을뭐로할지못정하겠어요ㅠ,몽중몽,짠해,너에게가는길,익명의여자",1,,https://naver.me/FCA0aZUK
ne_sl,넥스트에디션 신림점,28,0:00,"극,씨프??XX!!,TESTER,테스터,LOVER,러버,옛날옛날에",,,https://naver.me/G58gERgp
ne_js,넥스트에디션 잠실점,28,0:00,"데.코.연,데이트코스연구회,락페스티벌,작은악마들,카페라떼,데코연",,,https://naver.me/xhzxnFCz
nc_kd,뉴케이스 건대점,15,0:00,,,,https://xcape.kr/nc
dia_town,다이아에그 미스테리타운,5,0:00,"육향찻집,오륙택배",,,https://naver.me/Gq84OOCy
dia_inn,다이아에그 미스테리인,9,0:00,"우시마을,GRABBER,그래버,키키키키키,KEYX5,무료한하루,노키즈존,개연성,타임크루즈",,,https://naver.me/Gq84OOCy
dia_bs,다이아에그 부산서면점,11,0:00,"레드룸,RED ROOM,닥터슈나벨,신입사원,회귀",,,https://naver.me/GpCoEOoH
dps_gn,단편선 강남,6,0:00,"그림자없는상자,그없상,사람들은그것을행복이라부르기로했다,사그행부",,,https://www.dpsnnn.com/
dps_ss,단편선 성수,6,0:00,"쓰여진문장속에구원이없다면,쓰문구,존재할자격,쥐와파시스트와마지막한장,쥐파마,뱃사람의별,뱃별",,,https://dpsnnn-s.imweb.me/
tcd_gj,더 코드 경주점,,,"몽타주:강력1반#2,최부장의비밀,박물관:도둑들#3,도박꾼:마지막베팅",1,,http://thecode02.kr/
tcd_jgj,더 코드 광주,20,0:00,"타짜,곤지암,경찰서를털어라,미생,탈옥,탐정,나홀로집에,도둑들",,,http://www.thecode-escape.com/
tcd_wsn,더 코드 왕십리점,,,"도둑들#2:다이어몬드블루문,피의일요일,냉동창고:살인사건#2,도박꾼:마지막베팅",1,,http://www.thecode12.kr/
tcd_sgp,더 코드 제주서귀포점,,,"재즈바W:위험한거래,위자보드:위험한장난,세기의명화를훔치는도둑들,다시시작된살인사건,강력1반:사라진아이들",1,,http://thecode06.kr/
tcd_jj,더 코드 진주점,,,"다시시작된살인사건,의문의동창회,아파트,세기의명화를훔치는도둑들,위자보드:위험한장난,재즈바W:위험한거래,강력1반:사라진아이들",1,,http://thecode07.kr/
tcd_cc,더 코드 춘천점,,,"세기의명화를훔치는도둑들,다시시작된살인사건,냉동창고:살인사건#2,의문의동창회",1,,http://thecode03.kr/
tcd_hg,더 코드 회기점,,,"다시시작된살인사건,세기의명화를훔치는도둑들,재즈바W:위험한거래,강력1반:추격자",1,,http://www.thecode11.kr/
mz_nw,더메이즈 노원점,,,"LOST THE PRINCE,로스트더프린스,골드,상계동357-8,상의원,SECRET ROOM,시크릿룸,NO ONE,노원,탐정 IN NEWYORK,탐정인뉴욕,더 바틀샵 IN 중계동,디셈블,딜리트,DELETE",1,,http://www.themazenw.co.kr/
the_ct,더챕터,6,0:00,"선택,쿠키",,,https://naver.me/xhlW1KP1
trap_sy,더트랩 수유점,,,"그녀를만나기1시간전,그녀를만나기한시간전,DREAM FACTORY,드림팩토리,박물관을털어라,D-THERAPY,디테라피,사립고 살인사건",1,,https://naver.me/GsoP5qBO
find_esc,더파인더 방탈출,,,"무인도,201호 202호,괴담수집가,4,더헝거",1,,https://naver.me/FtGN3koD
dd_dhr,덤앤더머 대학로점,,,"작전명:옵저버,크라임시티,러브클리닉,투앨리스,푸른수염,글램핑",1,,http://dumbndumber.kr
dd_sm,덤앤더머 서면점,,,"소경녀,푸른수염,X테마_학교괴담,러브클리닉,투앨리스,글램핑B,동전노래방,작전명:옵저버,KNOCKKNOCK,낙낙,녹녹,기담,크라임시티",1,,http://dumbndumber-sm.kr
dd_hd,덤앤더머 홍대점,,,"오므라이스,소공녀,버킷리스트,기담,KNOCKKNOCK,낙낙,녹녹,마리오네뜨,휴가중",1,,
de_gg,도어이스케이프 강남가든점,6,0:00,"출동,인서트코인,INSERTCOIN,둘이라면,이매진,IMAGINE",,,https://naver.me/xa5Rl2IV
de_dj,도어이스케이프 대전유성 NC백화점,,,"나는아직도배고프G,나는아직도배고프지,도어항공41C,서커스:THECLEANINGMAN,서커스:더클리닝맨,산타의민족,굿나잇,GOOD NIGHT,우쥬파인드미?,WOULD YOU FIND ME?",1,,https://naver.me/Fw7311EP
de_bp,도어이스케이프 부평점,6,0:00,"요원들은 들어라,호롱,몽타주",,,https://naver.me/F9N5tI0a
de_sr,도어이스케이프 신논현 레드점,6,0:00,"럭키,LUCKY,비,유전",,,https://naver.me/5UEyu4kt
de_sb,도어이스케이프 신논현 블루점,6,0:00,"TRUTH,트루스,이방인",,,https://naver.me/5UEkbVmh
de_as,도어이스케이프 안산점,7,22:00,"파라오의석실,마녀의저주,미친의사,빅뱅,측신,엘로디,ellodie",,,https://naver.me/5YFAZ1Zd
de_ls,도어이스케이프 이수역점,,,"파라오의석실,빠삐용,검은조직,S.O.S정글",1,,https://naver.me/Gxk1Gtcb
de_hd,도어이스케이프 홍대점,6,0:00,"신기루,해결",,,https://naver.me/xtgpdbnY
dle_gn,돌로이스케이프,6,0:00,"무엇에썼던물건인고?,시선,아로새김",,,https://doloescape.co.kr/
dm_gw1,둠이스케이프 1호점,14,0:00,"나폴리탄,렌더링,랜더링,RENDERING,기담정,인앤아웃,IN&OUT",,,https://doomescape.com/
dm_gw2,둠이스케이프 2호점,15,23:00,"운명,디스토피아,죄,인바이트",,,https://doomescape.com/
